new_idx,new_file,new_instance_id,source_buffer,source_local_idx,old_file,old_instance_id,instance_type,time_window_type,global_value
0,solomon_dataset_0_R_wide_1777582045.txt,solomon_dataset_0_R_wide_1777582045,/data/Maojie/Github2/EVRP-TW-D-B_Weekend/dataset/unanchored/Cus_50/buffer_1k,0,solomon_dataset_0_R_wide_1777247658.txt,solomon_dataset_0_R_wide_1777247658,R,wide,959.2606563535652
1,solomon_dataset_1_C_wide_1777582045.txt,solomon_dataset_1_C_wide_1777582045,/data/Maojie/Github2/EVRP-TW-D-B_Weekend/dataset/unanchored/Cus_50/buffer_1k,1,solomon_dataset_1_C_wide_1777247658.txt,solomon_dataset_1_C_wide_1777247658,C,wide,640.8249592435453
2,solomon_dataset_2_R_narrow_1777582045.txt,solomon_dataset_2_R_narrow_1777582045,/data/Maojie/Github2/EVRP-TW-D-B_Weekend/dataset/unanchored/Cus_50/buffer_1k,2,solomon_dataset_2_R_narrow_1777247658.txt,solomon_dataset_2_R_narrow_1777247658,R,narrow,1200.931744554857
3,solomon_dataset_3_RC_narrow_1777582045.txt,solomon_dataset_3_RC_narrow_1777582045,/data/Maojie/Github2/EVRP-TW-D-B_Weekend/dataset/unanchored/Cus_50/buffer_1k,3,solomon_dataset_3_RC_narrow_1777247658.txt,solomon_dataset_3_RC_narrow_1777247658,RC,narrow,1215.433993147114
4,solomon_dataset_4_R_narrow_1777582045.txt,solomon_dataset_4_R_narrow_1777582045,/data/Maojie/Github2/EVRP-TW-D-B_Weekend/dataset/unanchored/Cus_50/buffer_1k,4,solomon_dataset_4_R_narrow_1777247658.txt,solomon_dataset_4_R_narrow_1777247658,R,narrow,1529.991170505119
5,solomon_dataset_5_R_wide_1777582045.txt,solomon_dataset_5_R_wide_1777582045,/data/Maojie/Github2/EVRP-TW-D-B_Weekend/dataset/unanchored/Cus_50/buffer_1k,5,solomon_dataset_5_R_wide_1777247658.txt,solomon_dataset_5_R_wide_1777247658,R,wide,892.1745744444856
6,solomon_dataset_6_R_narrow_1777582045.txt,solomon_dataset_6_R_narrow_1777582045,/data/Maojie/Github2/EVRP-TW-D-B_Weekend/dataset/unanchored/Cus_50/buffer_1k,6,solomon_dataset_6_R_narrow_1777247658.txt,solomon_dataset_6_R_narrow_1777247658,R,narrow,1630.749116602202
7,solomon_dataset_7_R_narrow_1777582045.txt,solomon_dataset_7_R_narrow_1777582045,/data/Maojie/Github2/EVRP-TW-D-B_Weekend/dataset/unanchored/Cus_50/buffer_1k,7,solomon_dataset_7_R_narrow_1777247658.txt,solomon_dataset_7_R_narrow_1777247658,R,narrow,1450.603570428358
8,solomon_dataset_8_C_wide_1777582045.txt,solomon_dataset_8_C_wide_1777582045,/data/Maojie/Github2/EVRP-TW-D-B_Weekend/dataset/unanchored/Cus_50/buffer_1k,8,solomon_dataset_8_C_wide_1777247658.txt,solomon_dataset_8_C_wide_1777247658,C,wide,535.3370470496283
9,solomon_dataset_9_R_narrow_1777582045.txt,solomon_dataset_9_R_narrow_1777582045,/data/Maojie/Github2/EVRP-TW-D-B_Weekend/dataset/unanchored/Cus_50/buffer_1k,9,solomon_dataset_9_R_narrow_1777247658.txt,solomon_dataset_9_R_narrow_1777247658,R,narrow,1427.7356056636258
10,solomon_dataset_10_R_narrow_1777582045.txt,solomon_dataset_10_R_narrow_1777582045,/data/Maojie/Github2/EVRP-TW-D-B_Weekend/dataset/unanchored/Cus_50/buffer_1k,10,solomon_dataset_10_R_narrow_1777247658.txt,solomon_dataset_10_R_narrow_1777247658,R,narrow,1264.877188381812
11,solomon_dataset_11_RC_narrow_1777582045.txt,solomon_dataset_11_RC_narrow_1777582045,/data/Maojie/Github2/EVRP-TW-D-B_Weekend/dataset/unanchored/Cus_50/buffer_1k,11,solomon_dataset_11_RC_narrow_1777247658.txt,solomon_dataset_11_RC_narrow_1777247658,RC,narrow,929.9771073321763
12,solomon_dataset_12_R_wide_1777582045.txt,solomon_dataset_12_R_wide_1777582045,/data/Maojie/Github2/EVRP-TW-D-B_Weekend/dataset/unanchored/Cus_50/buffer_1k,12,solomon_dataset_12_R_wide_1777247658.txt,solomon_dataset_12_R_wide_1777247658,R,wide,1112.3982188443238
13,solomon_dataset_13_C_wide_1777582045.txt,solomon_dataset_13_C_wide_1777582045,/data/Maojie/Github2/EVRP-TW-D-B_Weekend/dataset/unanchored/Cus_50/buffer_1k,13,solomon_dataset_13_C_wide_1777247658.txt,solomon_dataset_13_C_wide_1777247658,C,wide,548.6660068721275
14,solomon_dataset_14_C_narrow_1777582045.txt,solomon_dataset_14_C_narrow_1777582045,/data/Maojie/Github2/EVRP-TW-D-B_Weekend/dataset/unanchored/Cus_50/buffer_1k,14,solomon_dataset_14_C_narrow_1777247658.txt,solomon_dataset_14_C_narrow_1777247658,C,narrow,729.3777392598251
15,solomon_dataset_15_C_narrow_1777582045.txt,solomon_dataset_15_C_narrow_1777582045,/data/Maojie/Github2/EVRP-TW-D-B_Weekend/dataset/unanchored/Cus_50/buffer_1k,15,solomon_dataset_15_C_narrow_1777247658.txt,solomon_dataset_15_C_narrow_1777247658,C,narrow,895.713425576982
